,simulation_id,scenario,strategy,netlogo_seed,num_of_samples,num_of_robots,num_of_passengers,num_of_staff,fall_length,fall_chance,robot_persuasion_factor,max_netlogo_ticks,room_type,enable_video,param_seed,evacuation_ticks,evacuation_time,robot_actions,robot_responses,robot_contacts,success
112,no-support@fall-chance=0.2$robot-persuasion-factor=1_12,no-support@fall-chance=0.2$robot-persuasion-factor=1,,1398172709,20,0,800,10,500,0.2,1,2000,8,False,8967,528,16.95,[],[],0,True
113,no-support@fall-chance=0.2$robot-persuasion-factor=1_13,no-support@fall-chance=0.2$robot-persuasion-factor=1,,-1714437294,20,0,800,10,500,0.2,1,2000,8,False,8967,548,15.88,[],[],0,True
114,no-support@fall-chance=0.2$robot-persuasion-factor=1_14,no-support@fall-chance=0.2$robot-persuasion-factor=1,,-1413363835,20,0,800,10,500,0.2,1,2000,8,False,8967,548,14.21,[],[],0,True
115,no-support@fall-chance=0.2$robot-persuasion-factor=1_15,no-support@fall-chance=0.2$robot-persuasion-factor=1,,1153484291,20,0,800,10,500,0.2,1,2000,8,False,8967,561,15.65,[],[],0,True
116,no-support@fall-chance=0.2$robot-persuasion-factor=1_16,no-support@fall-chance=0.2$robot-persuasion-factor=1,,-1029802839,20,0,800,10,500,0.2,1,2000,8,False,8967,509,15.35,[],[],0,True
117,no-support@fall-chance=0.2$robot-persuasion-factor=1_17,no-support@fall-chance=0.2$robot-persuasion-factor=1,,-1944440313,20,0,800,10,500,0.2,1,2000,8,False,8967,1032,41.5,[],[],0,True
118,no-support@fall-chance=0.2$robot-persuasion-factor=1_18,no-support@fall-chance=0.2$robot-persuasion-factor=1,,38196769,20,0,800,10,500,0.2,1,2000,8,False,8967,1042,53.26,[],[],0,True
119,no-support@fall-chance=0.2$robot-persuasion-factor=1_19,no-support@fall-chance=0.2$robot-persuasion-factor=1,,478676962,20,0,800,10,500,0.2,1,2000,8,False,8967,1015,28.88,[],[],0,True
120,no-support@fall-chance=0.2$robot-persuasion-factor=2_0,no-support@fall-chance=0.2$robot-persuasion-factor=2,,-1207807381,20,0,800,10,500,0.2,2,2000,8,False,8967,525,15.18,[],[],0,True
121,no-support@fall-chance=0.2$robot-persuasion-factor=2_1,no-support@fall-chance=0.2$robot-persuasion-factor=2,,-792368376,20,0,800,10,500,0.2,2,2000,8,False,8967,1038,58.55,[],[],0,True
122,no-support@fall-chance=0.2$robot-persuasion-factor=2_2,no-support@fall-chance=0.2$robot-persuasion-factor=2,,-20676663,20,0,800,10,500,0.2,2,2000,8,False,8967,1024,39.1,[],[],0,True
123,no-support@fall-chance=0.2$robot-persuasion-factor=2_3,no-support@fall-chance=0.2$robot-persuasion-factor=2,,-66166063,20,0,800,10,500,0.2,2,2000,8,False,8967,512,14.74,[],[],0,True
124,no-support@fall-chance=0.2$robot-persuasion-factor=2_4,no-support@fall-chance=0.2$robot-persuasion-factor=2,,429628137,20,0,800,10,500,0.2,2,2000,8,False,8967,511,15.37,[],[],0,True
125,no-support@fall-chance=0.2$robot-persuasion-factor=2_5,no-support@fall-chance=0.2$robot-persuasion-factor=2,,-799265193,20,0,800,10,500,0.2,2,2000,8,False,8967,521,15.05,[],[],0,True
126,no-support@fall-chance=0.2$robot-persuasion-factor=2_6,no-support@fall-chance=0.2$robot-persuasion-factor=2,,1783571257,20,0,800,10,500,0.2,2,2000,8,False,8967,515,17.66,[],[],0,True
